"","panelvar","villageid","villagearea","caste","jatis","loan1","income1","DSR1","DIR1","expenses1","assets1","DAR1","ISR1","DSRstd1","DARstd1","incomestd1","assetsstd1","expensesstd1","ISRstd1","loanstd1","DIRstd1","loan2","income2","DSR2","DIR2","expenses2","assets2","DAR2","ISR2","DSRstd2","DARstd2","incomestd2","assetsstd2","expensesstd2","ISRstd2","loanstd2","DIRstd2","loan3","income3","DSR3","DIR3","expenses3","assets3","DAR3","ISR3","DSRstd3","DARstd3","incomestd3","assetsstd3","expensesstd3","ISRstd3","loanstd3","DIRstd3","d1_loanamount","d2_loanamount","d1_DIR","d2_DIR","d1_DAR_without","d2_DAR_without","d1_DSR","d2_DSR","d1_ISR","d2_ISR","d1_annualincome","d2_annualincome","d1_assets_noland","d2_assets_noland","d1_yearly_expenses","d2_yearly_expenses","ce_DAR_without","ce_DSR","ce_loanamount","ce_income","ce_assetsnl","ce_DSR_1","ce_DSR_2","ce_DSR_3","ce_DSR_4","ce_DSR_5","ce_DSR_6","ce_DAR_without_1","ce_DAR_without_2","ce_DAR_without_3","ce_DAR_without_4","ce_DAR_without_5","ce_DAR_without_6","ce_loanamount_1","ce_loanamount_2","ce_loanamount_3","ce_loanamount_4","ce_loanamount_5","ce_loanamount_6","ce_income_1","ce_income_2","ce_income_3","ce_income_4","ce_income_5","ce_income_6","ce_assetsnl_1","ce_assetsnl_2","ce_assetsnl_3","ce_assetsnl_4","ce_assetsnl_5","ce_assetsnl_6","d1_sign_loanamount","d2_sign_loanamount","std_abs_d1_loanamount","std_abs_d2_loanamount","d1_sign_DIR","d2_sign_DIR","std_abs_d1_DIR","std_abs_d2_DIR","d1_sign_DAR_without","d2_sign_DAR_without","std_abs_d1_DAR_without","std_abs_d2_DAR_without","d1_sign_DSR","d2_sign_DSR","std_abs_d1_DSR","std_abs_d2_DSR","d1_sign_ISR","d2_sign_ISR","std_abs_d1_ISR","std_abs_d2_ISR","d1_sign_annualincome","d2_sign_annualincome","std_abs_d1_annualincome","std_abs_d2_annualincome","d1_sign_assets_noland","d2_sign_assets_noland","std_abs_d1_assets_noland","std_abs_d2_assets_noland","d1_sign_yearly_expenses","d2_sign_yearly_expenses","std_abs_d1_yearly_expenses","std_abs_d2_yearly_expenses","cl_loan_sbd","cl_income_sbd","cl_assets_sbd","cl_DSR_sbd","cl_DAR_sbd","cl_expenses_sbd"
"1","ELA1","ELA","Ur","Middle","Nattar",64000,52000,60.408443,123.07693,52600,264500,24.196598,20.708897,-0.026887674,-0.20210111,-0.41734233,-0.11327299,-0.027895324,-0.05911037,-0.41784295,-0.20676154,64000,50012.656,20.790234,127.96761,42025.316,177468.36,36.062767,4.5358071,-0.24234338,-0.15560566,-0.43817049,-0.36806554,-0.3072513,-0.24152461,-0.41784295,-0.20174323,38100,60163.039,27.620918,63.327915,75815.219,302663.06,12.588255,8.6640778,-0.20519607,-0.24758631,-0.33179036,-0.0015473722,0.5853911,-0.19496237,-0.56934732,-0.26806983,0,-25900,4.8906784,-64.639694,11.866169,-23.474512,-39.61821,6.8306847,-16.17309,4.1282706,-1987.3438,10150.383,-87031.641,125194.7,-10574.684,33789.902,"(Δ+1)<(Δ-2)","(Δ-1)>(Δ+2)","(Δ-1)&(Δ-2)","(Δ-1)<(Δ+2)","(Δ-1)<(Δ+2)",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,"POS","NEG",-0.66808158,-0.57725394,"POS","NEG",-0.37971014,-0.30748564,"POS","NEG",-0.23697443,-0.20940433,"NEG","POS",-0.1935975,-0.33639207,"NEG","POS",-0.16278538,-0.31904805,"NEG","POS",-0.65336823,-0.60192108,"NEG","POS",-0.30535254,-0.29132599,"NEG","POS",-0.47081149,0.14480352,6,1,3,1,1,4
"2","ELA10","ELA","Ur","Middle","Nattar",38500,45000,47.720001,85.555557,52800,157500,24.444445,14.386667,-0.09589123,-0.20112996,-0.49070516,-0.42652461,-0.022611838,-0.130418,-0.56700754,-0.2452621,122800,73860.758,27.918152,166.2588,36075.949,272151.88,45.121864,4.8189836,-0.20357962,-0.12010922,-0.18823273,-0.090871476,-0.46441829,-0.23833069,-0.073887065,-0.16245274,157500,119836.96,42.429626,131.42856,30978.262,161956.53,97.248314,8.078825,-0.12466187,0.084138878,0.2936165,-0.41347775,-0.59908611,-0.20156336,0.12909372,-0.19819196,84300,34700,80.703247,-34.830246,20.67742,52.12645,-19.801849,14.511475,-9.5676842,3.2598414,28860.758,45976.203,114651.88,-110195.34,-16724.051,-5097.6875,"(Δ+1)&(Δ+2)","(Δ-1)>(Δ+2)","(Δ+1)&(Δ+2)","(Δ+1)&(Δ+2)","(Δ+1)>(Δ-2)",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"POS","POS",-0.19994606,-0.52248436,"POS","NEG",-0.27921095,-0.3279981,"POS","POS",-0.2163325,-0.1402225,"NEG","POS",-0.41867521,-0.31016901,"NEG","POS",-0.28624561,-0.32505968,"POS","POS",-0.36989948,-0.29541767,"POS","NEG",-0.24125427,-0.32944167,"NEG","NEG",-0.33410686,-0.53208256,1,5,2,1,7,3
"3","ELA11","ELA","Ur","Middle","Vanniyar",113000,127000,35.259842,88.976379,46600,394500,28.643852,6.9133854,-0.16365331,-0.18467534,0.36868805,0.26731309,-0.18639991,-0.21470821,-0.13121304,-0.24175201,189800,101772.16,61.719345,186.49503,71392.406,453797.47,41.824825,27.43082,-0.019758599,-0.13302808,0.10429003,0.4409115,0.46855175,0.016705362,0.31803548,-0.14168842,215500,6739.1299,686.36755,3197.7422,29347.826,140434.78,153.45201,239.88292,3.3772657,0.30436292,-0.89169461,-0.47648451,-0.64215803,2.4129257,0.46836996,2.9481432,76800,25700,97.518646,3011.2471,13.180973,111.62718,26.459503,624.64819,20.517435,212.4521,-25227.844,-95033.023,59297.469,-313362.69,24792.406,-42044.578,"(Δ+1)&(Δ+2)","(Δ+1)&(Δ+2)","(Δ+1)&(Δ+2)","(Δ-1)&(Δ-2)","(Δ+1)<(Δ-2)",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"POS","POS",-0.24159513,-0.57849872,"POS","POS",-0.25692001,1.7201322,"POS","POS",-0.23389427,0.0034455885,"POS","POS",-0.34305641,1.7729039,"POS","POS",-0.081586145,1.1230602,"NEG","NEG",-0.40822053,0.12428194,"POS","NEG",-0.36971521,0.18683785,"POS","NEG",-0.15474184,0.33954188,1,4,2,2,7,1
"4","ELA12","ELA","Ur","Middle","Vanniyar",129000,185000,33.27441,69.729729,49400,414500,31.121832,1.2122597,-0.17445068,-0.17496583,0.97655153,0.32586479,-0.1124311,-0.27901047,-0.037619602,-0.26150092,88500,101265.82,5.2142859,87.393745,19620.254,74683.547,118.49999,5.2142859,-0.32705006,0.16740975,0.098983429,-0.66897684,-0.89913547,-0.23387213,-0.274528,-0.24337594,72300,54347.828,27.204969,133.032,22500,101684.78,71.102089,27.204969,-0.20745812,-0.018310392,-0.39273614,-0.58992845,-0.82305998,0.014158016,-0.36929137,-0.19654667,-40500,-16200,17.664017,45.638252,87.378159,-47.397903,-28.060123,21.990685,4.0020261,21.990685,-83734.18,-46917.992,-339816.44,27001.234,-29779.746,2879.7461,"(Δ+1)>(Δ-2)","(Δ-1)>(Δ+2)","(Δ-1)&(Δ-2)","(Δ-1)&(Δ-2)","(Δ-1)>(Δ+2)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,"NEG","NEG",-0.44317663,-0.63762492,"POS","POS",-0.36277744,-0.3205609,"POS","NEG",-0.060073972,-0.15163986,"NEG","POS",-0.32487628,-0.2846342,"POS","POS",-0.39027214,-0.19539665,"NEG","NEG",0.20892167,-0.28736031,"NEG","POS",0.28128508,-0.5408507,"NEG","POS",-0.043869887,-0.58440661,6,4,4,1,3,3
"5","ELA13","ELA","Ur","Middle","Nattar",120000,56000,96.952316,214.28571,49200,216000,55.555557,34.320808,0.17184886,-0.079226673,-0.37542072,-0.25526088,-0.11771459,0.094416671,-0.090265915,-0.11317249,110700,39113.922,36.94136,283.01941,52531.645,153354.44,72.185722,36.94136,-0.15450871,-0.01406437,-0.55239362,-0.4386611,-0.029701101,0.12397355,-0.1446671,-0.042645037,130500,185869.56,3.5424237,70.210526,57065.219,550000,23.727272,0.27019024,-0.33614212,-0.20394008,0.9856649,0.7225526,0.09006428,-0.28963596,-0.028845217,-0.26100761,-9300,19800,68.733704,-212.80888,16.630165,-48.45845,-60.010956,-33.398937,2.6205521,-36.671169,-16886.078,146755.64,-62645.563,396645.56,3331.6445,4533.5742,"(Δ+1)<(Δ-2)","(Δ-1)&(Δ-2)","(Δ-1)<(Δ+2)","(Δ-1)<(Δ+2)","(Δ-1)<(Δ+2)",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"NEG","POS",-0.61643672,-0.61521918,"POS","NEG",-0.2950781,-0.20552754,"POS","NEG",-0.22581391,-0.14907911,"NEG","NEG",0.038026899,-0.24568518,"POS","NEG",-0.41609296,-0.093771935,"NEG","POS",-0.49621198,0.56678843,"NEG","POS",-0.3619453,0.39847246,"POS","POS",-0.63182914,-0.54539073,6,6,5,1,1,2
"6","ELA14","ELA","Colony","Dalits","SC",51000,37000,29.662163,137.83784,58200,222500,22.921349,5.3378382,-0.19409516,-0.20709793,-0.57454842,-0.23623157,0.12004229,-0.2324786,-0.49388763,-0.1916154,41100,172151.91,6.9982357,23.874264,29493.67,33924.051,121.15298,0,-0.31734839,0.17780502,0.84189832,-0.78830373,-0.63830519,-0.29268342,-0.55179858,-0.3085531,65100,119565.22,15.093168,54.447269,30978.262,101684.78,64.021378,15.093168,-0.27332571,-0.046054885,0.29076853,-0.58992845,-0.59908611,-0.12244947,-0.41140842,-0.27718222,-9900,24000,-113.96358,30.573006,98.231636,-57.131607,-22.663927,8.0949326,-5.3378382,15.093168,135151.91,-52586.688,-188575.95,67760.734,-28706.33,1484.5918,"(Δ+1)>(Δ-2)","(Δ-1)>(Δ+2)","(Δ-1)<(Δ+2)","(Δ+1)>(Δ-2)","(Δ-1)>(Δ+2)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"NEG","POS",-0.61310482,-0.5890792,"NEG","POS",-0.23512018,-0.33092758,"POS","NEG",-0.03464774,-0.12813726,"NEG","POS",-0.38616723,-0.3320758,"NEG","POS",-0.36530477,-0.24314426,"POS","NEG",0.7512911,-0.23886248,"NEG","POS",-0.069698676,-0.43727455,"NEG","POS",-0.067732655,-0.61732012,6,3,4,1,3,3
"7","ELA15","ELA","Colony","Dalits","SC",371000,185000,30.521137,200.54054,42200,367500,100.95238,1.7087495,-0.1894238,0.098652616,0.97655153,0.18826829,-0.30263659,-0.27341065,1.3779812,-0.12727636,652000,322025.31,8.1255779,202.46857,48037.977,475316.47,137.17177,8.1255779,-0.31121758,0.24057174,2.4126322,0.50391018,-0.14841226,-0.20103604,3.0217161,-0.12529802,847700,38913.043,82.842682,2178.447,44021.738,588695.63,143.99632,63.205677,0.095116436,0.26731253,-0.55449891,0.83583736,-0.25451097,0.42020547,4.166481,1.9022475,281000,195700,1.9280243,1975.9785,36.219383,6.8245544,-22.395559,74.717102,6.4168282,55.080101,137025.31,-283112.28,107816.47,113379.16,5837.9766,-4016.2383,"(Δ+1)&(Δ+2)","(Δ-1)<(Δ+2)","(Δ+1)&(Δ+2)","(Δ+1)<(Δ-2)","(Δ+1)&(Δ+2)",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"POS","POS",0.89237016,0.47954983,"POS","POS",-0.38363752,1.0077437,"POS","POS",-0.17992264,-0.24960665,"NEG","POS",-0.38921538,-0.10462048,"POS","POS",-0.3451376,0.033662703,"POS","NEG",0.77105236,1.7333709,"POS","POS",-0.25711718,-0.32135111,"POS","NEG",-0.57611167,-0.55759531,1,2,6,2,5,2
"8","ELA16","ELA","Ur","Middle","Vanniyar",215000,101000,66.312668,212.87129,33200,213000,100.93896,29.217411,0.0052212672,0.09860003,0.096197523,-0.26404363,-0.54039347,0.036856093,0.46544516,-0.11462381,126600,153797.47,3.075886,82.316048,19620.254,80126.578,158,3.075886,-0.33867931,0.3221834,0.64953637,-0.6530419,-0.89913547,-0.25799087,-0.051658619,-0.24858615,9300,72554.344,1.6104871,12.817979,28396.738,304347.84,3.0557144,0.14981274,-0.34664857,-0.28493786,-0.20192447,0.0033849685,-0.6672833,-0.29099369,-0.73781556,-0.31989792,-88400,-117300,-130.55524,-69.49807,57.061035,-154.94429,-63.236782,-1.4653989,-26.141525,-2.9260733,52797.469,-81243.125,-132873.42,224221.27,-13579.746,8776.4844,"(Δ+1)<(Δ-2)","(Δ-1)&(Δ-2)","(Δ-1)&(Δ-2)","(Δ+1)<(Δ-2)","(Δ-1)<(Δ+2)",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,"NEG","NEG",-0.17717791,-0.0083972616,"NEG","NEG",-0.21312582,-0.3041425,"POS","NEG",-0.1310973,0.10803735,"NEG","NEG",0.074666403,-0.35470974,"NEG","NEG",0.023532527,-0.3273702,"POS","NEG",-0.11740795,0.0063041565,"NEG","POS",-0.19896753,-0.039684236,"NEG","POS",-0.4040069,-0.44529504,5,1,3,2,1,3
"9","ELA17","ELA","Colony","Dalits","SC",31000,75000,0,41.333332,58400,79000,39.240505,0,-0.35540691,-0.14315426,-0.17629302,-0.65634006,0.12532577,-0.29268342,-0.61087942,-0.29063839,63200,100886.07,1.1448509,62.644924,59113.926,412151.91,15.334151,1.1448509,-0.34918085,-0.236827,0.095003493,0.31899056,0.14418586,-0.27977079,-0.42252263,-0.26877064,89600,86663.047,7.1402364,103.38893,32336.957,557934.75,16.059225,0,-0.31657615,-0.23398593,-0.054059554,0.74578226,-0.56319284,-0.29268342,-0.26809347,-0.22696333,32200,26400,21.311592,40.744007,-23.906353,0.72507381,1.1448509,5.9953856,1.1448509,-1.1448509,25886.07,-14223.023,333151.91,145782.84,713.92578,-26776.969,"(Δ-1)>(Δ+2)","(Δ+1)&(Δ+2)","(Δ+1)&(Δ+2)","(Δ+1)>(Δ-2)","(Δ+1)&(Δ+2)",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"POS","POS",-0.48926827,-0.57414204,"POS","POS",-0.35794213,-0.32392874,"NEG","POS",-0.20876813,-0.26433423,"POS","POS",-0.63058466,-0.33924386,"POS","NEG",-0.44367498,-0.33970058,"POS","NEG",-0.40127736,-0.56707811,"POS","POS",0.26581872,-0.23900835,"POS","NEG",-0.69002283,-0.020640559,1,1,6,2,6,3
"10","ELA19","ELA","Colony","Dalits","SC",6000,50000,9.2580004,12,39400,113000,5.3097343,0.65799999,-0.30505911,-0.27610588,-0.43830314,-0.55680215,-0.37660542,-0.2852619,-0.75711918,-0.32073724,254100,63797.469,0.14880952,398.29166,80253.164,365696.19,69.48391,0.14880952,-0.35459763,-0.024650937,-0.29370007,0.18298748,0.70263022,-0.29100502,0.69416416,0.07563547,122400,80923.914,19.271168,151.2532,33152.176,241195.64,50.747185,0,-0.25060451,-0.098067418,-0.11420799,-0.18149848,-0.54165685,-0.29268342,-0.076226898,-0.17784995,248100,-131700,386.29166,-247.03845,64.174179,-18.736725,-9.1091909,19.122358,-0.50919044,-0.14880952,13797.469,17126.445,252696.19,-124500.55,40853.164,-47100.988,"(Δ+1)>(Δ-2)","(Δ-1)<(Δ+2)","(Δ+1)>(Δ-2)","(Δ+1)&(Δ+2)","(Δ+1)>(Δ-2)",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"POS","NEG",0.70966959,0.081225671,"POS","NEG",0.12588523,-0.18197352,"POS","NEG",-0.11443348,-0.22084402,"NEG","POS",-0.5401243,-0.29442698,"NEG","NEG",-0.45555598,-0.34659562,"POS","POS",-0.52879155,-0.54223824,"POS","NEG",0.079105139,-0.29308996,"POS","NEG",0.20229973,0.45882908,5,5,1,2,3,1
"11","ELA2","ELA","Ur","Middle","Vanniyar",85000,172000,26.216858,49.418606,86400,260000,32.692307,9.9377909,-0.21283177,-0.1688122,0.84030628,-0.12644713,0.86501384,-0.18059632,-0.29500157,-0.28234211,552500,289367.09,5.3404784,190.93394,68354.43,589240.5,93.764778,3.0621173,-0.32636377,0.070489272,2.0703609,0.8374325,0.38829622,-0.25814617,2.4396818,-0.13713366,429400,168206.53,10.353781,255.2814,57608.695,858695.69,50.006073,5.1123524,-0.29909992,-0.10097133,0.80054921,1.6262856,0.10442153,-0.23502183,1.7195973,-0.071106926,467500,-123100,141.51534,64.347458,61.072472,-43.758705,-20.876379,5.0133023,-6.8756733,2.050235,117367.09,-121160.56,329240.5,269455.19,-18045.57,-10745.734,"(Δ+1)>(Δ-2)","(Δ-1)>(Δ+2)","(Δ+1)>(Δ-2)","(Δ+1)<(Δ-2)","(Δ+1)&(Δ+2)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"POS","NEG",1.9280437,0.027700864,"POS","POS",-0.19859682,-0.30768675,"POS","NEG",-0.1216998,-0.16042693,"NEG","POS",-0.40647051,-0.3425968,"NEG","POS",-0.33656141,-0.33343312,"POS","NEG",0.56369162,0.34781289,"POS","POS",0.25674149,0.075262129,"NEG","NEG",-0.3047286,-0.39883789,5,1,6,1,3,3
"12","ELA20","ELA","Colony","Dalits","SC",68000,70800,18.135883,96.045197,29400,202000,33.663364,15.311025,-0.25677854,-0.16500729,-0.2203107,-0.29624707,-0.64077973,-0.11999229,-0.39444461,-0.23449871,145500,33544.305,161.33839,433.75473,58860.758,212025.31,68.623886,59.688324,0.52199966,-0.028020782,-0.61076552,-0.26689711,0.13749781,0.3805337,0.058898635,0.11202402,174400,7989.1304,645.12158,2182.9658,46195.652,265326.09,65.730438,424.89203,3.1529577,-0.039358236,-0.87859404,-0.11085453,-0.19708173,4.4996204,0.22795179,1.9068843,77500,28900,337.70953,1749.2111,34.960522,-2.8934479,143.20251,483.7832,44.3773,365.2037,-37255.695,-25555.174,10025.313,53300.781,29460.758,-12665.105,"(Δ+1)>(Δ-2)","(Δ+1)&(Δ+2)","(Δ+1)&(Δ+2)","(Δ-1)&(Δ-2)","(Δ+1)&(Δ+2)",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"POS","POS",-0.23770788,-0.55858248,"POS","POS",0.061483469,0.85170066,"POS","NEG",-0.18287174,-0.25909856,"POS","POS",0.98293126,1.2919755,"POS","POS",0.36437351,2.1804733,"NEG","NEG",-0.28134719,-0.47012728,"POS","POS",-0.48406109,-0.47401953,"POS","NEG",-0.050961215,-0.35355747,1,4,6,2,5,2
"13","ELA21","ELA","Ur","Middle","Vanniyar",74500,62500,17.4688,119.2,65820,81000,91.975311,16.6688,-0.26040632,0.063477568,-0.30729806,-0.65048486,0.32134309,-0.10467811,-0.35642228,-0.21073964,127200,110126.58,25.287167,115.50346,73670.883,263354.44,48.299927,1.7669439,-0.2178877,-0.10765655,0.19184776,-0.11662672,0.52874327,-0.27275428,-0.048148863,-0.21453266,13000,47826.09,0,27.18182,22500,185163.06,7.0208392,0,-0.35540691,-0.26940122,-0.4610866,-0.34553865,-0.82305998,-0.29268342,-0.71617204,-0.30515921,52700,-114200,-3.6965485,-88.32164,-43.675385,-41.279087,7.818367,-25.287167,-14.901856,-1.7669439,47626.578,-62300.488,182354.44,-78191.375,7850.8828,-51170.883,"(Δ-1)&(Δ-2)","(Δ+1)<(Δ-2)","(Δ+1)<(Δ-2)","(Δ+1)<(Δ-2)","(Δ+1)>(Δ-2)",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"POS","NEG",-0.37542748,-0.027691089,"NEG","NEG",-0.38129312,-0.29118964,"NEG","NEG",-0.1624556,-0.16641411,"POS","NEG",-0.55478573,-0.27337965,"NEG","NEG",-0.18654573,-0.33539417,"POS","NEG",-0.17195204,-0.15575725,"POS","NEG",-0.084136948,-0.41076869,"POS","NEG",-0.53136343,0.55484307,3,2,6,4,3,3
"14","ELA22","ELA","Colony","Dalits","SC",81500,74600,60.115952,109.24933,30400,84000,97.023811,9.8478556,-0.028478334,0.083259203,-0.18048517,-0.64170212,-0.6143623,-0.18161069,-0.31547514,-0.22094999,107600,170632.92,3.6443,63.059341,25949.367,158797.47,67.759262,3.6443,-0.3355881,-0.031408656,0.82597876,-0.42272615,-0.73193657,-0.25157982,-0.16280083,-0.26834542,241800,29565.219,282.76785,817.85297,73369.563,436630.47,55.378639,79.388504,1.1823695,-0.079919897,-0.65246791,0.39065364,0.52078313,0.60272956,0.6222142,0.50614607,26100,134200,-46.189987,754.79364,-29.264549,-12.380623,-56.471653,279.12357,-6.2035556,75.744202,96032.922,-141067.7,74797.469,277833,-4450.6328,47420.195,"(Δ-1)&(Δ-2)","(Δ-1)<(Δ+2)","(Δ+1)&(Δ+2)","(Δ+1)<(Δ-2)","(Δ+1)&(Δ+2)",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"POS","POS",-0.52314281,0.09678521,"NEG","POS",-0.32496268,0.16742271,"NEG","NEG",-0.19621558,-0.2361912,"NEG","POS",-0.0021731255,0.59324533,"NEG","POS",-0.34912381,0.17670861,"POS","NEG",0.33865246,0.51812601,"POS","POS",-0.33374438,0.096551441,"NEG","POS",-0.60695332,0.46635959,4,2,5,2,6,4
"15","ELA23","ELA","Ur","Middle","Vanniyar",60000,49000,16.498598,122.44898,46400,105000,57.14286,16.498598,-0.26568258,-0.073007114,-0.44878355,-0.58022285,-0.1916834,-0.1065978,-0.44124132,-0.20740587,77600,44683.543,13.290414,173.66571,55316.457,167215.19,46.407265,13.290414,-0.28312963,-0.11507261,-0.49402174,-0.39808258,0.043866489,-0.14278251,-0.33828855,-0.15485254,163000,51847.828,0,314.38156,19891.305,110326.09,147.74385,0,-0.35540691,0.28199655,-0.41893715,-0.56463027,-0.89197499,-0.29268342,0.16126646,-0.010464429,17600,85400,51.216728,140.71585,-10.735596,101.33659,-3.2081842,-13.290414,-3.2081842,-13.290414,-4316.457,7164.2852,62215.188,-56889.102,8916.457,-35425.152,"(Δ-1)<(Δ+2)","(Δ-1)&(Δ-2)","(Δ+1)&(Δ+2)","(Δ-1)<(Δ+2)","(Δ+1)>(Δ-2)",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"POS","POS",-0.5703451,-0.20693696,"POS","POS",-0.31829908,-0.25513616,"NEG","POS",-0.23962301,-0.021401675,"NEG","NEG",-0.60714895,-0.31433785,"NEG","NEG",-0.40510967,-0.2556237,"NEG","POS",-0.62880003,-0.62746829,"POS","NEG",-0.36294407,-0.46490103,"POS","NEG",-0.50767499,0.18338116,4,1,2,4,7,1
"16","ELA24","ELA","Colony","Dalits","SC",159000,65000,19.615385,244.61539,104100,406000,39.16256,19.615385,-0.24873255,-0.14345968,-0.28109705,0.30098033,1.3326024,-0.071443953,0.13786811,-0.082051292,113900,108227.85,21.431473,105.24093,51139.242,254303.78,44.788952,5.0572042,-0.23885612,-0.12141368,0.17194833,-0.14312328,-0.066484794,-0.23564383,-0.12594841,-0.225063,257500,21997.281,282.224,1170.5991,30978.262,337173.91,76.370087,151.90367,1.1794118,0.0023313076,-0.73178297,0.099486068,-0.59908611,1.420619,0.71405274,0.86809784,-45100,143600,-139.37445,1065.3582,5.6263924,31.581135,1.8160877,260.79254,-14.558181,146.84647,43227.852,-86230.57,-151696.22,82870.125,-52960.758,-20160.98,"(Δ+1)&(Δ+2)","(Δ+1)&(Δ+2)","(Δ-1)<(Δ+2)","(Δ+1)<(Δ-2)","(Δ-1)>(Δ+2)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"NEG","POS",-0.41763186,0.15528907,"NEG","POS",-0.20143484,0.38112819,"POS","POS",-0.25159225,-0.18983041,"POS","POS",-0.62296063,0.53066123,"NEG","POS",-0.19296929,0.66890943,"POS","NEG",-0.21835111,0.048973631,"NEG","POS",-0.15528546,-0.39887926,"NEG","NEG",0.47145978,-0.17672019,1,2,2,2,5,3
"17","ELA26","ELA","Colony","Dalits","SC",103000,108000,52.108902,95.370369,87200,400000,25.75,15.465319,-0.072023071,-0.19601437,0.16956036,0.28341481,0.8861478,-0.11825202,-0.18970895,-0.23519115,186800,28481.012,143.47652,655.87561,30632.912,243417.72,76.740509,47.466255,0.4248614,0.003782741,-0.66383088,-0.17499317,-0.60820937,0.2426825,0.30048671,0.33994159,77600,3913.0432,254.11429,1983.1112,50543.477,263586.94,29.440001,254.11429,1.0265428,-0.18155578,-0.92131311,-0.11594606,-0.082223393,2.5734396,-0.33828855,1.7018141,83800,-109200,560.50525,1327.2356,50.990509,-47.300507,91.367615,110.63777,32.000938,206.64804,-79518.984,-24567.969,-156582.28,20169.219,-56567.086,19910.564,"(Δ+1)>(Δ-2)","(Δ+1)&(Δ+2)","(Δ+1)<(Δ-2)","(Δ-1)&(Δ-2)","(Δ-1)>(Δ+2)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"POS","NEG",-0.20272267,-0.058810163,"POS","POS",0.35682744,0.56133115,"POS","NEG",-0.14531861,-0.15187503,"POS","POS",0.39418134,0.01801658,"POS","POS",0.13304956,1.0828819,"NEG","NEG",0.16445853,-0.47857317,"NEG","POS",-0.14394638,-0.55821192,"NEG","POS",0.55163091,-0.18262783,5,4,2,2,3,3
"18","ELA27","ELA","Colony","Dalits","SC",18000,145000,10.377242,12.413793,71400,182000,9.89011,2.5841379,-0.29897234,-0.2581585,0.55733532,-0.35479876,0.46875238,-0.26353723,-0.6869241,-0.32031265,87300,104000.01,26.339748,83.942307,34683.543,180063.3,48.482956,4.392941,-0.21216345,-0.10693939,0.12763882,-0.36046863,-0.50120211,-0.24313597,-0.28154752,-0.24691746,229100,1048916.9,0.52227449,21.841579,29347.826,185489.13,123.51129,0.14686598,-0.3525666,0.18704562,10.03075,-0.34458408,-0.64215803,-0.29102692,0.5479244,-0.31063882,69300,141800,71.528511,-62.100727,38.592846,75.028336,15.962506,-25.817474,1.8088031,-4.2460752,-40999.992,944916.88,-1936.7031,5425.8281,-36716.457,-5335.7168,"(Δ+1)&(Δ+2)","(Δ+1)<(Δ-2)","(Δ+1)&(Δ+2)","(Δ-1)<(Δ+2)","(Δ-1)<(Δ+2)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"POS","POS",-0.28324419,0.1440862,"POS","NEG",-0.29137322,-0.30923274,"POS","POS",-0.17436238,-0.084924527,"POS","NEG",-0.46228313,-0.2715691,"POS","NEG",-0.43126521,-0.31823257,"NEG","POS",-0.24185124,7.395359,"NEG","POS",-0.50283235,-0.59567714,"NEG","NEG",0.11033791,-0.52646714,4,6,2,2,7,3
